listenedAt,precipitaProb,tMin,tMax,sunrise,sunset,day_length,isWorkDay,cloud_pct,temp,feels_like,humidity,wind_speed,music_valence,music_arousal,idWeatherType = Clear sky,idWeatherType = Partly cloudy,idWeatherType = Sunny intervals,idWeatherType = Rain and thunderstorms,idWeatherType = Cloudy,idWeatherType = Intermittent rain,idWeatherType = Intermittent heavy rain,idWeatherType = Hail,idWeatherType = Intermittent ligth rain,idWeatherType = Snow showers,idWeatherType = Snow,idWeatherType = Showers and thunderstorms,idWeatherType = Heavy showers/rain,idWeatherType = Light showers/rain,idWeatherType = Frost,idWeatherType = Convective clouds,idWeatherType = Drizzle,idWeatherType = No information,idWeatherType = Thunderstorms,idWeatherType = Showers/rain,idWeatherType = Rain/showers,idWeatherType = Rain and snow,idWeatherType = Cloudy (High cloud),idWeatherType = Mist,idWeatherType = Cloudy ,idWeatherType = Light rain,idWeatherType = Fog,idWeatherType = Heavy rain/showers,classWindSpeed = Moderate,classWindSpeed = Weak,classWindSpeed = Strong,classWindSpeed = Very,classPrecInt = No precipitation,classPrecInt = Weak,classPrecInt = Strong,classPrecInt = Moderate,timeOfDay = Afternoon,timeOfDay = Evening,timeOfDay = Morning,timeOfDay = Night,timeOfDay = Early Morning,initial_emotion = angry,initial_emotion = fear,initial_emotion = happy,initial_emotion = neutral,initial_emotion = sad,initial_emotion = surprise,initial_emotion = disgust,valence_last_emotion,arousal_last_emotion,valence_initial_emotion,arousal_initial_emotion
0.656,0.0,0.514,0.629,0.215,0.839,0.623,1,0.2,0.643,0.643,0.63,0.11,0.61,0.55,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.518,0.554,0.165,0.502
0.744,0.0,0.514,0.629,0.215,0.839,0.623,1,0.2,0.629,0.629,0.66,0.096,0.56,0.52,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.699,0.551,0.609,0.501
0.748,0.0,0.514,0.629,0.215,0.839,0.623,1,0.2,0.629,0.629,0.66,0.096,0.541,0.523,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.53,0.687,0.498,0.501
0.756,0.0,0.514,0.629,0.215,0.839,0.623,1,0.04,0.629,0.643,0.68,0.018,0.514,0.503,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.721,0.558,0.635,0.5
0.765,0.0,0.514,0.629,0.215,0.839,0.623,1,0.04,0.629,0.643,0.68,0.018,0.572,0.52,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.474,0.513,0.635,0.5
0.781,0.0,0.514,0.629,0.215,0.839,0.623,1,0.2,0.614,0.614,0.64,0.103,0.55,0.512,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.661,0.634,0.635,0.5
0.79,0.0,0.514,0.629,0.215,0.839,0.623,1,0.2,0.614,0.614,0.64,0.103,0.602,0.526,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.855,0.563,0.635,0.5
0.975,0.0,0.514,0.629,0.215,0.839,0.623,1,0.4,0.543,0.543,0.91,0.041,0.554,0.511,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.128,0.71,0.299,0.651
0.978,0.0,0.514,0.629,0.215,0.839,0.623,1,0.4,0.543,0.543,0.91,0.041,0.55,0.51,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.6,0.558,0.299,0.651
0.028,0.0,0.5,0.657,0.216,0.839,0.622,1,1.0,0.543,0.557,0.87,0.082,0.56,0.545,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.711,0.532,0.497,0.501
0.031,0.0,0.5,0.657,0.216,0.839,0.622,1,1.0,0.543,0.557,0.87,0.082,0.562,0.506,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.269,0.66,0.497,0.501
0.457,0.0,0.514,0.643,0.217,0.838,0.622,1,0.4,0.6,0.614,0.72,0.062,0.6,0.472,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.711,0.54,0.16,0.508
0.662,0.0,0.514,0.643,0.217,0.838,0.622,1,0.2,0.643,0.643,0.59,0.089,0.58,0.562,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.705,0.55,0.5,0.5
0.671,0.0,0.514,0.643,0.217,0.838,0.622,1,0.2,0.643,0.643,0.59,0.089,0.568,0.552,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.571,0.7,0.5,0.5
0.697,0.0,0.514,0.643,0.217,0.838,0.622,1,0.2,0.643,0.643,0.63,0.096,0.548,0.51,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.313,0.688,0.174,0.506
0.7,0.0,0.514,0.643,0.217,0.838,0.622,1,0.2,0.643,0.643,0.63,0.096,0.448,0.501,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.29,0.463,0.174,0.506
0.703,0.0,0.514,0.643,0.217,0.838,0.622,1,0.2,0.643,0.643,0.63,0.096,0.48,0.506,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.324,0.449,0.174,0.506
0.706,0.0,0.514,0.643,0.217,0.838,0.622,1,0.2,0.643,0.643,0.63,0.096,0.594,0.513,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.53,0.725,0.174,0.506
0.709,0.0,0.514,0.643,0.217,0.838,0.622,1,0.2,0.643,0.643,0.63,0.096,0.637,0.542,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.685,0.55,0.174,0.506
0.711,0.0,0.514,0.643,0.217,0.838,0.622,1,0.2,0.643,0.643,0.63,0.096,0.564,0.501,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.285,0.578,0.174,0.506
0.714,0.0,0.514,0.643,0.217,0.838,0.622,1,0.09,0.671,0.686,0.54,0.075,0.496,0.502,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.703,0.563,0.174,0.506
0.717,0.0,0.514,0.643,0.217,0.838,0.622,1,0.09,0.671,0.686,0.54,0.075,0.512,0.54,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.707,0.546,0.174,0.506
0.719,0.0,0.514,0.643,0.217,0.838,0.622,1,0.09,0.671,0.686,0.54,0.075,0.524,0.54,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.312,0.45,0.174,0.506
0.725,0.0,0.514,0.643,0.217,0.838,0.622,1,0.09,0.671,0.686,0.54,0.075,0.572,0.54,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.52,0.629,0.174,0.506
0.728,0.0,0.514,0.643,0.217,0.838,0.622,1,0.2,0.629,0.629,0.62,0.103,0.462,0.517,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.146,0.549,0.174,0.506
0.731,0.0,0.514,0.643,0.217,0.838,0.622,1,0.2,0.629,0.629,0.62,0.103,0.578,0.54,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.613,0.541,0.174,0.506
0.737,0.0,0.514,0.643,0.217,0.838,0.622,1,0.2,0.629,0.629,0.62,0.103,0.52,0.53,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.356,0.719,0.174,0.506
0.74,0.0,0.514,0.643,0.217,0.838,0.622,1,0.2,0.629,0.629,0.62,0.103,0.534,0.548,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.19,0.609,0.174,0.506
0.767,0.0,0.514,0.643,0.217,0.838,0.622,1,0.2,0.614,0.614,0.67,0.082,0.631,0.542,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.675,0.67,0.191,0.506
