listenedAt,precipitaProb,tMin,tMax,sunrise,sunset,day_length,isWorkDay,cloud_pct,temp,feels_like,humidity,wind_speed,music_valence,music_arousal,idWeatherType = Clear sky,idWeatherType = Partly cloudy,idWeatherType = Sunny intervals,idWeatherType = Cloudy ,idWeatherType = Light rain,idWeatherType = Light showers/rain,idWeatherType = Mist,idWeatherType = No information,idWeatherType = Snow,idWeatherType = Showers and thunderstorms,idWeatherType = Drizzle,idWeatherType = Rain and thunderstorms,idWeatherType = Heavy showers/rain,idWeatherType = Snow showers,idWeatherType = Fog,idWeatherType = Cloudy (High cloud),idWeatherType = Hail,idWeatherType = Intermittent heavy rain,idWeatherType = Heavy rain/showers,idWeatherType = Frost,idWeatherType = Cloudy,idWeatherType = Rain/showers,idWeatherType = Intermittent ligth rain,idWeatherType = Rain and snow,idWeatherType = Thunderstorms,idWeatherType = Showers/rain,idWeatherType = Convective clouds,idWeatherType = Intermittent rain,classWindSpeed = Moderate,classWindSpeed = Weak,classWindSpeed = Very,classWindSpeed = Strong,classPrecInt = No precipitation,classPrecInt = Moderate,classPrecInt = Strong,classPrecInt = Weak,timeOfDay = Afternoon,timeOfDay = Evening,timeOfDay = Morning,timeOfDay = Night,timeOfDay = Early Morning,initial_emotion = angry,initial_emotion = fear,initial_emotion = happy,initial_emotion = neutral,initial_emotion = sad,initial_emotion = surprise,initial_emotion = disgust,valence_last_emotion,arousal_last_emotion,valence_initial_emotion,arousal_initial_emotion
0.483,0.0,0.514,0.643,0.215,0.839,0.624,1,0.4,0.6,0.6,0.75,0.048,0.556,0.542,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.433,0.752,0.403,0.759
0.487,0.0,0.514,0.643,0.215,0.839,0.624,1,0.4,0.6,0.6,0.75,0.048,0.44,0.496,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.254,0.451,0.403,0.759
0.735,0.0,0.514,0.629,0.215,0.839,0.623,0,0.2,0.629,0.643,0.65,0.096,0.502,0.53,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.391,0.545,0.278,0.781
0.738,0.0,0.514,0.629,0.215,0.839,0.623,0,0.2,0.629,0.643,0.65,0.096,0.633,0.592,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.572,0.695,0.278,0.781
0.742,0.0,0.514,0.629,0.215,0.839,0.623,0,0.2,0.629,0.643,0.65,0.096,0.452,0.484,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.097,0.564,0.278,0.781
0.744,0.0,0.514,0.629,0.215,0.839,0.623,0,0.2,0.629,0.643,0.65,0.096,0.65,0.612,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.418,0.52,0.278,0.781
0.747,0.0,0.514,0.629,0.215,0.839,0.623,0,0.2,0.629,0.643,0.65,0.096,0.511,0.478,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.081,0.599,0.278,0.781
0.751,0.0,0.514,0.629,0.215,0.839,0.623,0,0.2,0.629,0.629,0.66,0.096,0.67,0.606,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.746,0.595,0.278,0.781
0.753,0.0,0.514,0.629,0.215,0.839,0.623,0,0.2,0.629,0.629,0.66,0.096,0.54,0.528,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.616,0.678,0.278,0.781
0.756,0.0,0.514,0.629,0.215,0.839,0.623,0,0.2,0.629,0.629,0.66,0.096,0.655,0.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.919,0.75,0.278,0.781
0.758,0.0,0.514,0.629,0.215,0.839,0.623,0,0.2,0.629,0.629,0.66,0.096,0.618,0.588,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.359,0.594,0.278,0.781
0.761,0.0,0.514,0.629,0.215,0.839,0.623,0,0.2,0.629,0.629,0.66,0.096,0.57,0.56,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.782,0.817,0.278,0.781
0.764,0.0,0.514,0.629,0.215,0.839,0.623,0,0.2,0.629,0.629,0.66,0.096,0.536,0.554,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.511,0.92,0.278,0.781
0.767,0.0,0.514,0.629,0.215,0.839,0.623,0,0.2,0.614,0.614,0.66,0.103,0.562,0.538,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.589,0.465,0.278,0.781
0.769,0.0,0.514,0.629,0.215,0.839,0.623,0,0.2,0.614,0.614,0.66,0.103,0.626,0.554,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.592,0.825,0.278,0.781
0.772,0.0,0.514,0.629,0.215,0.839,0.623,0,0.2,0.614,0.614,0.66,0.103,0.616,0.587,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.558,0.799,0.278,0.781
