listenedAt,rated_emotion,precipitaProb,tMin,tMax,sunrise,sunset,day_length,isWorkDay,cloud_pct,temp,feels_like,humidity,min_temp,max_temp,wind_speed,music_valence,music_arousal,idWeatherType = Clear sky,idWeatherType = Cloudy (High cloud),idWeatherType = Partly cloudy,idWeatherType = Sunny intervals,idWeatherType = Frost,idWeatherType = Rain and thunderstorms,idWeatherType = Intermittent ligth rain,idWeatherType = Light rain,idWeatherType = Intermittent rain,idWeatherType = Snow showers,idWeatherType = Cloudy,idWeatherType = Rain and snow,idWeatherType = Showers/rain,idWeatherType = Fog,idWeatherType = Snow,idWeatherType = No information,idWeatherType = Rain/showers,idWeatherType = Thunderstorms,idWeatherType = Hail,idWeatherType = Light showers/rain,idWeatherType = Showers and thunderstorms,idWeatherType = Heavy showers/rain,idWeatherType = Cloudy ,idWeatherType = Mist,idWeatherType = Intermittent heavy rain,idWeatherType = Heavy rain/showers,idWeatherType = Drizzle,idWeatherType = Convective clouds,classWindSpeed = Moderate,classWindSpeed = Weak,classWindSpeed = Strong,classWindSpeed = Very,classPrecInt = No precipitation,classPrecInt = Strong,classPrecInt = Moderate,classPrecInt = Weak,timeOfDay = Afternoon,timeOfDay = Evening,timeOfDay = Morning,timeOfDay = Night,timeOfDay = Early Morning,initial_emotion = angry,initial_emotion = fear,initial_emotion = happy,initial_emotion = neutral,initial_emotion = sad,initial_emotion = surprise,initial_emotion = disgust,valence_last_emotion,arousal_last_emotion,valence_initial_emotion,arousal_initial_emotion
0.439,0.713|0.247,0.0,0.514,0.714,0.212,0.838,0.626,1,0.0,0.6,0.614,0.79,20.0,25.0,0.021,0.633,0.592,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.604,0.72,0.492,0.509
0.439,0.789|0.253,0.0,0.514,0.714,0.212,0.838,0.626,1,0.0,0.6,0.614,0.79,20.0,25.0,0.021,0.611,0.563,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.533,0.613,0.492,0.509
0.44,0.152|0.12,0.0,0.514,0.714,0.212,0.838,0.626,1,0.0,0.6,0.614,0.79,20.0,25.0,0.021,0.48,0.534,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.374,0.662,0.492,0.509
0.441,0.08|0.69,0.0,0.514,0.714,0.212,0.838,0.626,1,0.0,0.6,0.614,0.79,20.0,25.0,0.021,0.57,0.56,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.688,0.673,0.492,0.509
0.442,0.785|0.253,0.0,0.514,0.714,0.212,0.838,0.626,1,0.0,0.6,0.614,0.79,20.0,25.0,0.021,0.44,0.496,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.622,0.686,0.492,0.509
0.442,-0.713|-0.243,0.0,0.514,0.714,0.212,0.838,0.626,1,0.0,0.6,0.614,0.79,20.0,25.0,0.021,0.411,0.476,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.271,0.609,0.492,0.509
0.442,-0.652|-0.152,0.0,0.514,0.714,0.212,0.838,0.626,1,0.0,0.6,0.614,0.79,20.0,25.0,0.021,0.496,0.508,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.483,0.475,0.492,0.509
0.443,-0.952|-0.267,0.0,0.514,0.714,0.212,0.838,0.626,1,0.0,0.6,0.614,0.79,20.0,25.0,0.021,0.514,0.506,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.127,0.576,0.492,0.509
0.443,0.123|0.877,0.0,0.514,0.714,0.212,0.838,0.626,1,0.0,0.6,0.614,0.79,20.0,25.0,0.021,0.619,0.57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.392,0.87,0.492,0.509
0.444,-0.678|-0.152,0.0,0.514,0.714,0.212,0.838,0.626,1,0.0,0.6,0.614,0.79,20.0,25.0,0.021,0.54,0.528,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.167,0.628,0.492,0.509
