listenedAt,precipitaProb,tMin,tMax,sunrise,sunset,day_length,isWorkDay,cloud_pct,temp,feels_like,humidity,wind_speed,music_valence,music_arousal,idWeatherType = Clear sky,idWeatherType = Partly cloudy,idWeatherType = Sunny intervals,idWeatherType = Cloudy ,idWeatherType = Rain/showers,idWeatherType = Hail,idWeatherType = Intermittent heavy rain,idWeatherType = Snow,idWeatherType = Fog,idWeatherType = Light showers/rain,idWeatherType = Cloudy (High cloud),idWeatherType = Rain and snow,idWeatherType = Drizzle,idWeatherType = Showers and thunderstorms,idWeatherType = Frost,idWeatherType = Snow showers,idWeatherType = Intermittent rain,idWeatherType = Heavy showers/rain,idWeatherType = Showers/rain,idWeatherType = No information,idWeatherType = Heavy rain/showers,idWeatherType = Intermittent ligth rain,idWeatherType = Rain and thunderstorms,idWeatherType = Cloudy,idWeatherType = Light rain,idWeatherType = Thunderstorms,idWeatherType = Convective clouds,idWeatherType = Mist,classWindSpeed = Moderate,classWindSpeed = Weak,classWindSpeed = Strong,classWindSpeed = Very,classPrecInt = No precipitation,classPrecInt = Strong,classPrecInt = Moderate,classPrecInt = Weak,timeOfDay = Afternoon,timeOfDay = Evening,timeOfDay = Morning,timeOfDay = Night,timeOfDay = Early Morning,initial_emotion = angry,initial_emotion = fear,initial_emotion = happy,initial_emotion = neutral,initial_emotion = sad,initial_emotion = surprise,initial_emotion = disgust,valence_last_emotion,arousal_last_emotion,valence_initial_emotion,arousal_initial_emotion
0.535,0.0,0.514,0.643,0.215,0.839,0.624,1,0.2,0.614,0.614,0.73,0.062,0.51,0.546,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.27,0.452,0.476,0.502
0.619,0.0,0.514,0.629,0.215,0.839,0.623,1,0.2,0.643,0.643,0.63,0.103,0.696,0.638,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.523,0.488,0.165,0.502
0.621,0.0,0.514,0.629,0.215,0.839,0.623,1,0.2,0.643,0.643,0.63,0.103,0.452,0.484,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.425,0.452,0.165,0.502
0.624,0.0,0.514,0.629,0.215,0.839,0.623,1,0.2,0.643,0.643,0.63,0.103,0.558,0.536,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.698,0.578,0.165,0.502
0.639,0.0,0.514,0.629,0.215,0.839,0.623,1,0.2,0.629,0.629,0.63,0.11,0.58,0.559,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.541,0.538,0.165,0.502
0.642,0.0,0.514,0.629,0.215,0.839,0.623,1,0.2,0.629,0.629,0.63,0.11,0.619,0.57,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.276,0.55,0.165,0.502
0.656,0.0,0.514,0.629,0.215,0.839,0.623,1,0.2,0.643,0.643,0.63,0.11,0.616,0.587,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.518,0.554,0.165,0.502
0.744,0.0,0.514,0.629,0.215,0.839,0.623,1,0.2,0.629,0.629,0.66,0.096,0.502,0.53,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.699,0.551,0.609,0.501
0.748,0.0,0.514,0.629,0.215,0.839,0.623,1,0.2,0.629,0.629,0.66,0.096,0.596,0.55,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.53,0.687,0.498,0.501
0.756,0.0,0.514,0.629,0.215,0.839,0.623,1,0.04,0.629,0.643,0.68,0.018,0.552,0.478,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.721,0.558,0.635,0.5
